id_clase,nombre_clase,docente_id
1,Voleibol,364
2,Fútbol,488
4,Fútbol,534
6,Voleibol,967
7,Fútbol,843
9,Fútbol,170
10,Fútbol,367
12,Baloncesto,839
14,Baloncesto,819
15,Voleibol,483
16,Fútbol,13
19,Fútbol,234
20,Baloncesto,444
22,Voleibol,829
25,Baloncesto,107
26,Fútbol,613
27,Fútbol,433
28,Baloncesto,28
31,Baloncesto,495
32,Voleibol,991
35,Voleibol,413
36,Fútbol,571
37,Fútbol,200
38,Voleibol,720
39,Baloncesto,856
40,Baloncesto,702
41,Voleibol,346
42,Voleibol,488
43,Baloncesto,213
44,Voleibol,564
45,Voleibol,295
50,Baloncesto,510
51,Fútbol,464
52,Baloncesto,35
53,Voleibol,415
55,Voleibol,866
57,Fútbol,495
60,Voleibol,853
62,Fútbol,701
65,Baloncesto,279
66,Voleibol,438
67,Voleibol,490
68,Fútbol,253
70,Fútbol,152
71,Voleibol,878
72,Fútbol,157
75,Voleibol,526
76,Voleibol,547
77,Baloncesto,655
78,Voleibol,897
80,Fútbol,207
81,Voleibol,489
82,Fútbol,453
86,Voleibol,230
87,Fútbol,70
89,Voleibol,472
90,Fútbol,444
91,Baloncesto,834
92,Voleibol,323
95,Fútbol,141
97,Voleibol,570
98,Baloncesto,36
100,Fútbol,567
101,Voleibol,334
102,Fútbol,434
103,Voleibol,575
104,Baloncesto,616
105,Baloncesto,652
106,Fútbol,794
109,Fútbol,992
110,Fútbol,423
111,Voleibol,458
112,Fútbol,240
113,Voleibol,946
114,Voleibol,498
118,Fútbol,581
119,Voleibol,374
120,Fútbol,420
122,Voleibol,944
123,Fútbol,551
124,Fútbol,600
125,Voleibol,466
126,Baloncesto,329
127,Fútbol,511
128,Voleibol,359
129,Fútbol,83
130,Baloncesto,222
133,Baloncesto,111
135,Fútbol,459
136,Voleibol,158
141,Voleibol,808
142,Voleibol,433
144,Baloncesto,662
146,Voleibol,468
147,Voleibol,155
148,Fútbol,288
149,Fútbol,104
152,Fútbol,504
153,Voleibol,34
155,Baloncesto,151
156,Baloncesto,561
158,Baloncesto,139
159,Baloncesto,60
160,Voleibol,969
161,Baloncesto,433
162,Fútbol,148
163,Baloncesto,989
166,Baloncesto,508
167,Voleibol,781
168,Baloncesto,274
169,Voleibol,175
170,Voleibol,510
171,Voleibol,820
173,Baloncesto,394
174,Fútbol,40
175,Voleibol,785
176,Voleibol,724
177,Voleibol,766
181,Baloncesto,702
184,Fútbol,632
186,Fútbol,534
187,Baloncesto,381
188,Voleibol,678
189,Baloncesto,464
190,Fútbol,754
191,Voleibol,107
192,Fútbol,186
194,Voleibol,524
195,Voleibol,237
198,Voleibol,180
199,Voleibol,176
202,Baloncesto,423
203,Voleibol,1
204,Baloncesto,314
206,Fútbol,276
208,Baloncesto,100
