id_sede,nombre_sede,ubicacion
17,Sede Principal,Ciudad A
19,Sede Principal,Ciudad E
20,Sede Principal,Ciudad D
22,Sede Principal,Ciudad B
23,Sede Principal,Ciudad B
24,Sede Principal,Ciudad C
25,Sede Principal,Ciudad E
26,Sede Principal,Ciudad D
27,Sede Principal,Ciudad A
30,Sede Principal,Ciudad D
31,Sede Principal,Ciudad B
32,Sede Principal,Ciudad C
33,Sede Principal,Ciudad E
35,Sede Principal,Ciudad C
37,Sede Principal,Ciudad A
38,Sede Principal,Ciudad A
39,Sede Principal,Ciudad E
42,Sede Principal,Ciudad E
44,Sede Principal,Ciudad C
45,Sede Principal,Ciudad D
46,Sede Principal,Ciudad C
47,Sede Principal,Ciudad E
48,Sede Principal,Ciudad C
51,Sede Principal,Ciudad D
52,Sede Principal,Ciudad C
53,Sede Principal,Ciudad A
54,Sede Principal,Ciudad A
57,Sede Principal,Ciudad A
58,Sede Principal,Ciudad A
59,Sede Principal,Ciudad D
60,Sede Principal,Ciudad E
61,Sede Principal,Ciudad B
62,Sede Principal,Ciudad D
63,Sede Principal,Ciudad E
64,Sede Principal,Ciudad A
65,Sede Principal,Ciudad E
66,Sede Principal,Ciudad E
69,Sede Principal,Ciudad E
72,Sede Principal,Ciudad D
73,Sede Principal,Ciudad A
74,Sede Principal,Ciudad B
75,Sede Principal,Ciudad C
77,Sede Principal,Ciudad B
79,Sede Principal,Ciudad C
80,Sede Principal,Ciudad A
81,Sede Principal,Ciudad A
83,Sede Principal,Ciudad B
84,Sede Principal,Ciudad A
85,Sede Principal,Ciudad E
86,Sede Principal,Ciudad D
88,Sede Principal,Ciudad B
91,Sede Principal,Ciudad A
92,Sede Principal,Ciudad D
93,Sede Principal,Ciudad B
94,Sede Principal,Ciudad E
95,Sede Principal,Ciudad C
96,Sede Principal,Ciudad E
97,Sede Principal,Ciudad D
99,Sede Principal,Ciudad D
100,Sede Principal,Ciudad B
101,Sede Principal,Ciudad B
102,Sede Principal,Ciudad C
103,Sede Principal,Ciudad D
104,Sede Principal,Ciudad C
106,Sede Principal,Ciudad A
107,Sede Principal,Ciudad C
108,Sede Principal,Ciudad D
109,Sede Principal,Ciudad C
110,Sede Principal,Ciudad E
111,Sede Principal,Ciudad D
112,Sede Principal,Ciudad B
113,Sede Principal,Ciudad E
114,Sede Principal,Ciudad E
115,Sede Principal,Ciudad A
118,Sede Principal,Ciudad E
121,Sede Principal,Ciudad A
122,Sede Principal,Ciudad D
127,Sede Principal,Ciudad C
128,Sede Principal,Ciudad A
130,Sede Principal,Ciudad E
131,Sede Principal,Ciudad D
132,Sede Principal,Ciudad D
133,Sede Principal,Ciudad B
134,Sede Principal,Ciudad D
138,Sede Principal,Ciudad A
141,Sede Principal,Ciudad B
143,Sede Principal,Ciudad E
145,Sede Principal,Ciudad C
146,Sede Principal,Ciudad A
147,Sede Principal,Ciudad C
149,Sede Principal,Ciudad E
150,Sede Principal,Ciudad C
152,Sede Principal,Ciudad C
153,Sede Principal,Ciudad D
155,Sede Principal,Ciudad B
156,Sede Principal,Ciudad D
157,Sede Principal,Ciudad A
158,Sede Principal,Ciudad A
160,Sede Principal,Ciudad D
163,Sede Principal,Ciudad C
165,Sede Principal,Ciudad B
